amount,hour,day_of_week,merchant_category,is_fraud
21.21,3,1,travel,0
216.79,13,3,grocery,0
157.03,2,3,retail,0
238.84,9,6,grocery,0
6.19,5,2,grocery,0
5.44,9,2,retail,0
248.12,4,1,online,1
210.51,1,3,online,1
2506.76,23,0,online,1
78.25,7,1,grocery,0
108.28,15,6,retail,0
10.17,17,3,restaurant,0
60.24,8,4,restaurant,0
595.14,12,1,restaurant,0
82.24,19,1,retail,0
57.68,8,5,grocery,0
38.25,9,0,retail,0
30.83,22,0,online,0
51.4,5,4,online,0
29.72,23,5,grocery,0
5.61,20,4,restaurant,0
4150.52,6,1,retail,0
33.68,18,3,retail,0
112.03,13,2,online,0
58.7,20,0,retail,0
40.35,20,1,grocery,0
30.89,11,4,online,0
36.96,20,4,restaurant,0
88.09,18,0,grocery,0
45.79,14,2,grocery,0
58.73,18,5,restaurant,0
17.29,21,3,online,0
29.79,9,4,restaurant,0
280.98,6,4,grocery,0
96.96,23,0,online,1
18.31,4,3,travel,0
64.7,13,3,travel,0
19.93,13,5,retail,0
13.13,6,4,retail,0
14.55,2,5,restaurant,0
60.97,19,5,retail,0
59.48,19,4,grocery,0
196.74,14,1,retail,0
87.08,16,2,travel,0
3.79,22,5,restaurant,0
49.74,15,0,restaurant,0
40.52,14,4,grocery,0
44.01,18,2,restaurant,0
25.6,6,6,grocery,0
8.83,13,1,grocery,0
6.8,23,5,retail,0
78.88,7,3,online,0
80.42,5,5,travel,1
17.46,7,5,online,0
143.42,4,1,grocery,0
10.23,11,2,restaurant,0
33.33,19,1,grocery,0
144.69,5,6,online,0
109.41,1,5,grocery,0
22.93,5,1,online,0
137.83,22,3,online,0
247.06,18,2,grocery,0
14.4,13,6,grocery,0
70.48,19,4,grocery,0
22.23,13,0,restaurant,0
217.89,7,6,grocery,0
81.72,13,3,grocery,0
26.73,5,5,grocery,0
6.67,15,5,grocery,0
109.4,16,1,travel,0
66.21,13,3,grocery,0
7.69,15,5,grocery,0
9.53,1,6,retail,0
72.7,23,4,grocery,0
183.27,21,4,online,0
42.66,12,6,grocery,0
155.46,21,4,online,0
1007.07,4,0,travel,1
40.64,9,3,grocery,0
42.09,13,5,online,0
52.96,18,0,restaurant,0
75.8,18,6,grocery,0
26.48,5,3,retail,0
29.8,18,1,grocery,0
32.2,10,2,online,0
22.32,13,3,online,0
16.81,1,0,grocery,0
13.29,7,6,retail,0
10.59,2,0,retail,0
17.71,1,5,grocery,0
211.31,22,3,grocery,0
30.47,0,3,restaurant,0
16.12,15,2,restaurant,0
36.22,18,4,grocery,0
12.66,20,6,online,0
20.73,21,5,grocery,0
79.66,2,5,retail,0
13.73,14,3,restaurant,0
22.39,22,4,travel,0
116.6,16,2,restaurant,0
6.44,9,5,retail,0
66.87,14,3,retail,0
2.32,10,5,grocery,0
127.27,20,2,online,0
28.84,10,2,grocery,0
8.93,18,6,grocery,0
1.77,12,6,restaurant,0
58.35,5,6,retail,0
8.27,12,3,online,0
7.37,2,0,retail,0
15.22,15,3,restaurant,0
260.31,21,0,restaurant,0
222.12,21,4,retail,0
43.49,14,3,retail,0
515.4,1,1,grocery,0
1.52,17,5,retail,0
8.85,19,5,restaurant,0
3.54,23,4,grocery,0
237.8,12,2,travel,0
7.85,22,2,grocery,0
36.02,11,1,grocery,0
7.0,1,4,restaurant,0
20.24,19,5,retail,0
24.23,23,1,restaurant,0
42.71,10,5,restaurant,0
19.16,8,0,online,0
25.13,14,2,retail,0
116.63,21,2,restaurant,0
14.95,20,1,restaurant,0
44.12,2,5,online,0
36.72,8,5,grocery,0
63.66,7,0,grocery,0
5.37,13,4,grocery,0
109.36,13,4,restaurant,0
37.4,21,2,retail,0
3.44,18,2,retail,0
94.79,4,5,retail,0
220.2,11,5,retail,0
19.72,18,3,online,0
17.7,13,5,retail,0
27.42,4,2,grocery,0
57.28,22,0,retail,0
4.32,21,0,restaurant,0
91.2,1,4,retail,0
8.79,22,5,restaurant,0
12.88,21,3,retail,0
3.19,20,5,grocery,0
13.22,6,2,restaurant,0
76.86,15,6,online,0
10.28,19,4,restaurant,0
20.6,23,0,retail,0
17.42,18,4,online,0
8.75,10,1,retail,0
19.47,8,2,grocery,0
23.3,21,2,retail,0
7.61,13,6,retail,0
10.49,6,1,retail,0
3.94,5,4,retail,0
27.38,18,6,restaurant,0
78.02,4,6,retail,0
1.8,17,6,retail,0
8.97,10,4,grocery,0
43.4,23,5,restaurant,0
509.24,13,4,online,0
5.76,19,2,travel,0
180.37,21,0,online,0
52.71,23,6,retail,0
115.12,14,0,restaurant,0
123.87,4,2,retail,0
39.01,22,1,grocery,0
27.18,0,2,retail,0
23.12,14,1,online,0
36.27,7,5,grocery,0
54.53,18,0,restaurant,0
38.68,2,4,retail,0
90.77,12,5,restaurant,0
21.09,17,0,restaurant,0
26.91,6,6,grocery,0
16.74,14,5,retail,0
138.15,7,5,online,0
8.39,12,1,grocery,0
11.72,23,4,restaurant,0
11.67,20,6,restaurant,0
8.43,6,4,grocery,0
105.07,5,4,retail,0
19.36,1,1,grocery,0
48.58,16,1,travel,0
12.01,10,5,grocery,0
43.18,11,3,retail,0
28.88,0,0,grocery,0
68.43,4,0,restaurant,0
353.06,20,5,grocery,0
50.73,4,5,grocery,0
2.95,21,6,retail,0
542.96,0,6,online,1
75.34,12,4,restaurant,0
1.99,0,3,travel,0
145.48,15,6,retail,0
341.92,12,2,restaurant,0
16.87,12,3,restaurant,0
66.64,16,2,travel,0
20.59,1,6,retail,0
9.43,16,3,grocery,0
87.38,14,6,grocery,0
36.2,1,1,restaurant,0
58.29,23,2,retail,0
88.52,18,4,online,0
125.11,17,2,travel,0
5.49,8,1,grocery,0
58.7,11,4,grocery,0
11.7,23,4,restaurant,0
22.26,2,2,online,0
13.46,14,0,retail,0
5.49,8,5,restaurant,0
232.06,0,5,grocery,0
13.7,7,2,retail,0
118.91,14,6,restaurant,0
2.2,1,2,grocery,0
155.35,2,1,retail,0
6.76,17,2,retail,0
53.67,11,3,grocery,0
111.15,18,1,online,0
4.67,15,5,travel,0
48.53,7,3,travel,0
57.98,9,4,travel,0
19.17,2,5,retail,0
14.22,12,5,grocery,0
57.95,21,2,grocery,0
11.31,11,3,grocery,0
44.5,19,3,online,0
25.89,1,2,retail,0
17.01,9,3,grocery,0
41.47,10,4,online,0
169.19,3,1,retail,0
20.6,22,6,online,0
42.69,4,6,online,0
234.24,9,3,restaurant,0
3.61,20,0,grocery,0
7.99,8,1,restaurant,0
17.86,2,4,online,0
36.39,17,6,retail,0
2.03,18,3,restaurant,0
56.96,10,6,retail,0
13.75,19,2,restaurant,0
34.44,23,4,retail,0
6.6,7,5,grocery,0
220.26,11,0,retail,0
124.38,13,1,travel,0
80.68,2,0,grocery,0
158.46,15,0,grocery,0
20.19,14,6,grocery,0
27.17,8,5,grocery,0
29.29,0,1,grocery,0
661.47,4,6,travel,1
47.89,18,2,grocery,0
54.98,21,3,grocery,0
35.28,14,3,grocery,0
124.86,23,4,grocery,0
10.15,13,4,online,0
145.22,2,6,retail,0
278.9,16,2,retail,0
54.15,20,3,restaurant,0
176.0,18,1,restaurant,0
9.63,19,3,grocery,0
18.74,3,0,retail,0
26.8,8,3,grocery,0
64.88,23,1,restaurant,0
17.43,1,1,online,0
16.49,1,2,restaurant,0
19.61,13,2,restaurant,0
90.73,5,6,online,0
2.78,11,0,retail,0
43.09,11,3,grocery,0
65.85,1,1,restaurant,0
8.07,8,3,online,0
409.61,3,6,grocery,0
29.82,16,3,grocery,0
35.12,11,1,online,0
7.72,13,3,retail,0
62.17,13,2,grocery,0
30.86,9,1,retail,0
8.66,2,6,grocery,0
20.17,20,1,grocery,0
10.22,2,2,restaurant,0
43.58,16,2,grocery,0
36.93,21,5,grocery,0
337.17,21,5,grocery,0
10.68,13,3,grocery,0
37.46,17,3,retail,0
2.5,13,5,grocery,0
9.55,20,2,grocery,0
10.72,10,3,online,0
10.43,11,5,online,0
20.17,18,3,retail,0
9.88,16,5,restaurant,0
49.89,0,0,restaurant,0
8.62,5,0,restaurant,0
84.8,5,6,grocery,0
26.15,0,1,retail,0
78.42,9,0,restaurant,0
20.26,2,2,grocery,0
19.66,14,4,grocery,0
49.09,20,2,restaurant,0
49.31,22,0,online,0
58.23,18,2,grocery,0
145.24,10,2,online,0
62.19,9,4,online,0
27.75,9,1,online,0
18.68,19,6,grocery,0
21.55,18,3,retail,0
13.06,20,1,grocery,0
1.92,4,6,grocery,0
157.81,16,4,grocery,0
22.08,6,1,restaurant,0
55.9,11,5,restaurant,0
52.66,3,3,online,1
117.04,15,6,grocery,0
10.87,2,0,restaurant,0
45.61,9,4,grocery,0
134.79,6,3,restaurant,0
44.93,22,0,retail,0
16.74,1,2,restaurant,0
7.53,14,0,restaurant,0
52.21,0,5,grocery,0
21.93,22,3,restaurant,0
45.45,1,3,grocery,0
22.41,13,3,restaurant,0
3.54,11,5,travel,0
831.07,1,2,travel,1
34.8,10,4,restaurant,0
56.68,4,3,online,0
93.6,11,0,restaurant,0
100.52,5,6,restaurant,0
21.73,12,6,travel,0
64.27,0,6,restaurant,0
58.32,11,0,retail,0
31.43,0,0,restaurant,0
6.3,0,2,travel,0
204.23,4,0,retail,0
227.61,21,1,retail,0
100.69,10,5,grocery,0
67.7,22,6,online,0
12.54,14,3,restaurant,0
62.56,11,2,restaurant,0
75.22,1,4,online,0
24.67,23,2,restaurant,0
9.76,20,0,retail,0
93.0,10,4,restaurant,0
46.1,15,6,restaurant,0
12.75,22,4,grocery,0
4.57,19,2,grocery,0
11.09,12,5,restaurant,0
9.81,3,1,retail,0
24.98,1,3,grocery,0
11.79,3,2,online,0
69.88,1,2,retail,0
12.39,20,5,grocery,0
143.96,7,3,retail,0
9.3,5,2,restaurant,0
57.71,15,3,travel,0
58.38,16,6,grocery,0
58.13,11,0,online,0
20.0,22,2,restaurant,0
39.03,13,6,restaurant,0
26.74,13,0,grocery,0
41.85,20,2,grocery,0
108.74,16,4,grocery,0
18.51,3,0,restaurant,0
49.06,18,5,restaurant,0
363.79,0,4,restaurant,1
147.96,6,6,grocery,0
170.87,11,1,online,0
8.12,17,2,grocery,0
16.79,22,4,retail,0
4.14,10,1,restaurant,0
8.0,12,3,retail,0
63.84,1,0,retail,0
70.64,0,1,grocery,0
72.83,17,1,retail,0
137.59,16,1,restaurant,0
9.11,9,6,retail,0
14.03,6,3,grocery,0
970.04,9,0,retail,0
185.59,5,1,grocery,0
14.94,22,0,retail,0
27.05,8,2,retail,0
130.54,12,4,retail,0
75.34,22,2,restaurant,0
14.41,13,0,restaurant,0
49.83,18,5,grocery,0
13.13,13,1,grocery,0
128.05,22,3,grocery,0
20.82,6,0,grocery,0
26.84,4,3,grocery,0
11.09,14,4,grocery,0
138.29,9,4,grocery,0
42.3,22,1,grocery,0
28.34,21,6,retail,0
7.06,16,2,online,0
7.36,4,6,grocery,0
39.43,21,1,retail,0
37.44,21,4,grocery,0
